time,trace_id,phase,prob,start,end
2019-12-26T00:21:45.290000Z,ZX.BRA08.,P,0.2606223523616791,2019-12-26T00:21:45.090000Z,2019-12-26T00:21:45.620000Z
2019-12-26T00:58:42.070000Z,ZX.BRA08.,P,0.3139339089393616,2019-12-26T00:58:41.810000Z,2019-12-26T00:58:42.430000Z
2019-12-26T01:36:46.150000Z,ZX.BRA08.,P,0.4512360394001007,2019-12-26T01:36:45.890000Z,2019-12-26T01:36:46.400000Z
2019-12-26T01:46:33.080000Z,ZX.BRA08.,P,0.3900318741798401,2019-12-26T01:46:32.800000Z,2019-12-26T01:46:33.900000Z
2019-12-26T01:50:05.120000Z,ZX.BRA08.,P,0.30696842074394226,2019-12-26T01:50:04.940000Z,2019-12-26T01:50:05.640000Z
2019-12-26T02:19:31.860000Z,ZX.BRA08.,P,0.4083693027496338,2019-12-26T02:19:31.590000Z,2019-12-26T02:19:32.350000Z
2019-12-26T02:34:25.840000Z,ZX.BRA08.,P,0.4445183575153351,2019-12-26T02:34:25.460000Z,2019-12-26T02:34:26.160000Z
2019-12-26T02:40:50.290000Z,ZX.BRA08.,P,0.38054776191711426,2019-12-26T02:40:49.940000Z,2019-12-26T02:40:50.690000Z
2019-12-26T02:47:59.350000Z,ZX.BRA08.,P,0.33795127272605896,2019-12-26T02:47:59.170000Z,2019-12-26T02:47:59.750000Z
2019-12-26T02:49:19.750000Z,ZX.BRA08.,P,0.2652478814125061,2019-12-26T02:49:19.540000Z,2019-12-26T02:49:20.240000Z
2019-12-26T02:57:56.110000Z,ZX.BRA08.,P,0.28931134939193726,2019-12-26T02:57:55.880000Z,2019-12-26T02:57:56.550000Z
2019-12-26T02:58:43.190000Z,ZX.BRA08.,P,0.4520050287246704,2019-12-26T02:58:42.590000Z,2019-12-26T02:58:43.720000Z
2019-12-26T03:33:54.320000Z,ZX.BRA08.,P,0.47582733631134033,2019-12-26T03:33:54.100000Z,2019-12-26T03:33:54.680000Z
2019-12-26T06:28:51.750000Z,ZX.BRA08.,P,0.2101699411869049,2019-12-26T06:28:51.710000Z,2019-12-26T06:28:52.290000Z
2019-12-26T06:42:39.030000Z,ZX.BRA08.,P,0.4233633577823639,2019-12-26T06:42:38.730000Z,2019-12-26T06:42:39.840000Z
2019-12-26T07:38:20.400000Z,ZX.BRA08.,P,0.4619520604610443,2019-12-26T07:38:20.110000Z,2019-12-26T07:38:20.740000Z
2019-12-26T07:42:02.290000Z,ZX.BRA08.,P,0.2451077401638031,2019-12-26T07:42:02.090000Z,2019-12-26T07:42:02.610000Z
