time,trace_id,phase,prob,start,end
2019-12-26T01:01:39.477967Z,ZX.BRA27.,S,0.6212970018386841,2019-12-26T01:01:39.167967Z,2019-12-26T01:01:39.907967Z
2019-12-26T01:19:05.207967Z,ZX.BRA27.,P,0.30272775888442993,2019-12-26T01:19:05.047967Z,2019-12-26T01:19:05.587967Z
2019-12-26T01:20:12.907967Z,ZX.BRA27.,S,0.507677435874939,2019-12-26T01:20:12.627967Z,2019-12-26T01:20:13.267967Z
2019-12-26T01:30:39.187967Z,ZX.BRA27.,P,0.591302752494812,2019-12-26T01:30:38.667967Z,2019-12-26T01:30:39.687967Z
2019-12-26T01:30:42.117967Z,ZX.BRA27.,S,0.6044497489929199,2019-12-26T01:30:41.757967Z,2019-12-26T01:30:42.567967Z
2019-12-26T01:36:42.327967Z,ZX.BRA27.,S,0.42415037751197815,2019-12-26T01:36:42.057967Z,2019-12-26T01:36:42.667967Z
2019-12-26T01:37:00.487967Z,ZX.BRA27.,S,0.288727730512619,2019-12-26T01:37:00.157967Z,2019-12-26T01:37:00.867967Z
2019-12-26T01:41:42.537967Z,ZX.BRA27.,S,0.47446489334106445,2019-12-26T01:41:42.187967Z,2019-12-26T01:41:42.957967Z
2019-12-26T01:42:47.757967Z,ZX.BRA27.,S,0.25140082836151123,2019-12-26T01:42:47.627967Z,2019-12-26T01:42:48.057967Z
2019-12-26T02:17:33.077967Z,ZX.BRA27.,S,0.2945631146430969,2019-12-26T02:17:32.987967Z,2019-12-26T02:17:33.407967Z
2019-12-26T03:01:50.157967Z,ZX.BRA27.,P,0.24674496054649353,2019-12-26T03:01:50.027967Z,2019-12-26T03:01:50.467967Z
2019-12-26T03:25:15.327967Z,ZX.BRA27.,P,0.2585192322731018,2019-12-26T03:25:15.157967Z,2019-12-26T03:25:15.587967Z
2019-12-26T03:25:17.537967Z,ZX.BRA27.,S,0.27177855372428894,2019-12-26T03:25:17.377967Z,2019-12-26T03:25:17.777967Z
2019-12-26T03:35:35.077967Z,ZX.BRA27.,S,0.696424126625061,2019-12-26T03:35:34.777967Z,2019-12-26T03:35:35.567967Z
2019-12-26T04:42:38.127967Z,ZX.BRA27.,S,0.37788426876068115,2019-12-26T04:42:37.897967Z,2019-12-26T04:42:38.477967Z
2019-12-26T05:14:14.287967Z,ZX.BRA27.,S,0.5022642016410828,2019-12-26T05:14:14.057967Z,2019-12-26T05:14:14.667967Z
2019-12-26T05:58:01.787967Z,ZX.BRA27.,S,0.23559749126434326,2019-12-26T05:58:01.677967Z,2019-12-26T05:58:02.427967Z
2019-12-26T06:06:42.427967Z,ZX.BRA27.,P,0.2319703996181488,2019-12-26T06:06:42.267967Z,2019-12-26T06:06:42.837967Z
2019-12-26T07:26:06.837967Z,ZX.BRA27.,S,0.4432216286659241,2019-12-26T07:26:06.497967Z,2019-12-26T07:26:07.257967Z
2019-12-26T07:26:33.057967Z,ZX.BRA27.,S,0.3278193771839142,2019-12-26T07:26:32.787967Z,2019-12-26T07:26:33.407967Z
2019-12-26T08:49:48.667967Z,ZX.BRA27.,S,0.21919646859169006,2019-12-26T08:49:48.667967Z,2019-12-26T08:49:48.857967Z
2019-12-26T08:59:54.427967Z,ZX.BRA27.,S,0.22325138747692108,2019-12-26T08:59:54.337967Z,2019-12-26T08:59:54.807967Z
2019-12-26T09:01:06.747967Z,ZX.BRA27.,S,0.2167534977197647,2019-12-26T09:01:06.657967Z,2019-12-26T09:01:07.047967Z
2019-12-26T09:06:04.907967Z,ZX.BRA27.,P,0.20190243422985077,2019-12-26T09:06:04.897967Z,2019-12-26T09:06:05.477967Z
2019-12-26T09:06:06.897967Z,ZX.BRA27.,S,0.43824824690818787,2019-12-26T09:06:06.597967Z,2019-12-26T09:06:07.287967Z
2019-12-26T09:18:10.407967Z,ZX.BRA27.,P,0.2563081979751587,2019-12-26T09:18:09.927967Z,2019-12-26T09:18:11.087967Z
2019-12-26T09:18:16.257967Z,ZX.BRA27.,S,0.5853153467178345,2019-12-26T09:18:15.937967Z,2019-12-26T09:18:16.627967Z
2019-12-26T09:50:51.987967Z,ZX.BRA27.,S,0.34483659267425537,2019-12-26T09:50:51.717967Z,2019-12-26T09:50:52.427967Z
2019-12-26T12:29:12.117967Z,ZX.BRA27.,P,0.22307103872299194,2019-12-26T12:29:12.007967Z,2019-12-26T12:29:12.347967Z
2019-12-26T12:29:12.177967Z,ZX.BRA27.,S,0.34147751331329346,2019-12-26T12:29:12.007967Z,2019-12-26T12:29:12.427967Z
2019-12-26T12:43:02.627967Z,ZX.BRA27.,P,0.3698406219482422,2019-12-26T12:43:02.117967Z,2019-12-26T12:43:02.987967Z
2019-12-26T13:03:30.937967Z,ZX.BRA27.,P,0.2361615002155304,2019-12-26T13:03:30.817967Z,2019-12-26T13:03:31.437967Z
2019-12-26T13:18:01.377967Z,ZX.BRA27.,S,0.2568438947200775,2019-12-26T13:18:01.257967Z,2019-12-26T13:18:01.667967Z
2019-12-26T14:33:52.437967Z,ZX.BRA27.,S,0.485734224319458,2019-12-26T14:33:52.217967Z,2019-12-26T14:33:52.837967Z
2019-12-26T14:48:46.777967Z,ZX.BRA27.,S,0.2672737240791321,2019-12-26T14:48:46.567967Z,2019-12-26T14:48:47.277967Z
2019-12-26T14:50:11.407967Z,ZX.BRA27.,P,0.21674014627933502,2019-12-26T14:50:11.287967Z,2019-12-26T14:50:11.957967Z
2019-12-26T15:14:19.047967Z,ZX.BRA27.,S,0.2998407483100891,2019-12-26T15:14:19.037967Z,2019-12-26T15:14:19.497967Z
2019-12-26T15:16:07.827967Z,ZX.BRA27.,S,0.5042473673820496,2019-12-26T15:16:07.467967Z,2019-12-26T15:16:08.167967Z
2019-12-26T15:34:50.517967Z,ZX.BRA27.,S,0.30806222558021545,2019-12-26T15:34:50.297967Z,2019-12-26T15:34:50.817967Z
2019-12-26T15:37:53.537967Z,ZX.BRA27.,S,0.20460690557956696,2019-12-26T15:37:53.507967Z,2019-12-26T15:37:53.787967Z
2019-12-26T15:38:37.667967Z,ZX.BRA27.,S,0.5466641187667847,2019-12-26T15:38:37.467967Z,2019-12-26T15:38:38.077967Z
