time,trace_id,phase,prob,start,end
2019-12-26T00:33:45.752798Z,ZX.BRA18.,P,0.33031973242759705,2019-12-26T00:33:45.242798Z,2019-12-26T00:33:46.272798Z
2019-12-26T00:33:51.392798Z,ZX.BRA18.,S,0.6552207469940186,2019-12-26T00:33:51.052798Z,2019-12-26T00:33:51.802798Z
2019-12-26T01:15:37.922798Z,ZX.BRA18.,P,0.40487101674079895,2019-12-26T01:15:37.642798Z,2019-12-26T01:15:38.342798Z
2019-12-26T01:32:29.322798Z,ZX.BRA18.,P,0.47910845279693604,2019-12-26T01:32:29.042798Z,2019-12-26T01:32:29.702798Z
2019-12-26T01:50:15.562798Z,ZX.BRA18.,P,0.2369743436574936,2019-12-26T01:50:15.422798Z,2019-12-26T01:50:15.902798Z
2019-12-26T02:10:08.252798Z,ZX.BRA18.,P,0.5330123901367188,2019-12-26T02:10:07.992798Z,2019-12-26T02:10:08.622798Z
2019-12-26T02:15:33.542798Z,ZX.BRA18.,P,0.6162030100822449,2019-12-26T02:15:33.242798Z,2019-12-26T02:15:33.902798Z
2019-12-26T02:29:01.682798Z,ZX.BRA18.,P,0.5410442352294922,2019-12-26T02:29:01.372798Z,2019-12-26T02:29:02.062798Z
2019-12-26T02:29:25.162798Z,ZX.BRA18.,P,0.2717892825603485,2019-12-26T02:29:24.952798Z,2019-12-26T02:29:25.432798Z
2019-12-26T03:12:09.092798Z,ZX.BRA18.,P,0.6236756443977356,2019-12-26T03:12:08.792798Z,2019-12-26T03:12:09.592798Z
2019-12-26T03:31:52.962798Z,ZX.BRA18.,P,0.20753513276576996,2019-12-26T03:31:52.922798Z,2019-12-26T03:31:53.212798Z
2019-12-26T04:23:35.352798Z,ZX.BRA18.,S,0.25332698225975037,2019-12-26T04:23:35.202798Z,2019-12-26T04:23:35.702798Z
2019-12-26T04:25:52.592798Z,ZX.BRA18.,P,0.22408325970172882,2019-12-26T04:25:52.432798Z,2019-12-26T04:25:52.862798Z
2019-12-26T05:14:11.372798Z,ZX.BRA18.,P,0.5824635624885559,2019-12-26T05:14:10.982798Z,2019-12-26T05:14:11.912798Z
2019-12-26T05:19:39.462798Z,ZX.BRA18.,P,0.8510087728500366,2019-12-26T05:19:39.102798Z,2019-12-26T05:19:39.902798Z
2019-12-26T05:49:11.862798Z,ZX.BRA18.,P,0.20148003101348877,2019-12-26T05:49:11.862798Z,2019-12-26T05:49:12.192798Z
2019-12-26T06:31:31.382798Z,ZX.BRA18.,P,0.3361453115940094,2019-12-26T06:31:31.072798Z,2019-12-26T06:31:31.722798Z
2019-12-26T06:48:21.292798Z,ZX.BRA18.,P,0.2863723635673523,2019-12-26T06:48:21.132798Z,2019-12-26T06:48:21.592798Z
2019-12-26T06:48:22.562798Z,ZX.BRA18.,S,0.21577052772045135,2019-12-26T06:48:22.552798Z,2019-12-26T06:48:22.852798Z
2019-12-26T06:48:22.652798Z,ZX.BRA18.,P,0.5630446076393127,2019-12-26T06:48:22.382798Z,2019-12-26T06:48:23.052798Z
2019-12-26T06:48:23.582798Z,ZX.BRA18.,S,0.4086064398288727,2019-12-26T06:48:23.352798Z,2019-12-26T06:48:24.062798Z
2019-12-26T07:44:53.072798Z,ZX.BRA18.,P,0.3288035988807678,2019-12-26T07:44:52.892798Z,2019-12-26T07:44:53.392798Z
2019-12-26T09:07:39.742798Z,ZX.BRA18.,P,0.20968088507652283,2019-12-26T09:07:39.622798Z,2019-12-26T09:07:40.072798Z
2019-12-26T10:14:51.192798Z,ZX.BRA18.,P,0.7213083505630493,2019-12-26T10:14:50.812798Z,2019-12-26T10:14:51.672798Z
2019-12-26T10:14:52.792798Z,ZX.BRA18.,S,0.2891024053096771,2019-12-26T10:14:52.632798Z,2019-12-26T10:14:53.152798Z
2019-12-26T11:17:42.212798Z,ZX.BRA18.,P,0.42651310563087463,2019-12-26T11:17:42.002798Z,2019-12-26T11:17:42.552798Z
2019-12-26T11:43:28.432798Z,ZX.BRA18.,P,0.4548074007034302,2019-12-26T11:43:28.152798Z,2019-12-26T11:43:28.802798Z
2019-12-26T13:04:05.582798Z,ZX.BRA18.,P,0.30891644954681396,2019-12-26T13:04:05.442798Z,2019-12-26T13:04:05.902798Z
2019-12-26T13:04:43.772798Z,ZX.BRA18.,P,0.29963061213493347,2019-12-26T13:04:43.602798Z,2019-12-26T13:04:43.852798Z
2019-12-26T13:43:40.312798Z,ZX.BRA18.,P,0.5111634135246277,2019-12-26T13:43:40.002798Z,2019-12-26T13:43:40.702798Z
2019-12-26T13:46:09.042798Z,ZX.BRA18.,P,0.23874935507774353,2019-12-26T13:46:08.972798Z,2019-12-26T13:46:09.312798Z
2019-12-26T15:04:50.222798Z,ZX.BRA18.,P,0.5475515127182007,2019-12-26T15:04:49.882798Z,2019-12-26T15:04:50.662798Z
2019-12-26T16:04:32.842798Z,ZX.BRA18.,P,0.32164767384529114,2019-12-26T16:04:32.622798Z,2019-12-26T16:04:33.162798Z
2019-12-26T17:02:25.652798Z,ZX.BRA18.,P,0.2875637412071228,2019-12-26T17:02:25.432798Z,2019-12-26T17:02:25.922798Z
2019-12-26T17:02:42.922798Z,ZX.BRA18.,P,0.5403634905815125,2019-12-26T17:02:42.642798Z,2019-12-26T17:02:43.372798Z
2019-12-26T17:08:16.002798Z,ZX.BRA18.,P,0.40967947244644165,2019-12-26T17:08:15.802798Z,2019-12-26T17:08:16.392798Z
2019-12-26T17:11:59.742798Z,ZX.BRA18.,P,0.24524618685245514,2019-12-26T17:11:59.562798Z,2019-12-26T17:12:00.082798Z
2019-12-26T17:36:57.692798Z,ZX.BRA18.,P,0.7975638508796692,2019-12-26T17:36:57.282798Z,2019-12-26T17:36:58.122798Z
2019-12-26T17:43:19.032798Z,ZX.BRA18.,P,0.26891565322875977,2019-12-26T17:43:18.892798Z,2019-12-26T17:43:19.412798Z
2019-12-26T17:49:24.832798Z,ZX.BRA18.,P,0.32422155141830444,2019-12-26T17:49:24.622798Z,2019-12-26T17:49:25.122798Z
2019-12-26T17:52:50.292798Z,ZX.BRA18.,P,0.30839836597442627,2019-12-26T17:52:50.142798Z,2019-12-26T17:52:50.492798Z
2019-12-26T17:59:23.152798Z,ZX.BRA18.,P,0.2734079360961914,2019-12-26T17:59:23.052798Z,2019-12-26T17:59:23.452798Z
2019-12-26T18:29:51.182798Z,ZX.BRA18.,P,0.4664565920829773,2019-12-26T18:29:50.952798Z,2019-12-26T18:29:51.542798Z
2019-12-26T18:30:12.632798Z,ZX.BRA18.,P,0.5248596668243408,2019-12-26T18:30:12.152798Z,2019-12-26T18:30:13.132798Z
2019-12-26T19:12:15.192798Z,ZX.BRA18.,P,0.3146679401397705,2019-12-26T19:12:15.012798Z,2019-12-26T19:12:15.492798Z
2019-12-26T19:16:24.942798Z,ZX.BRA18.,P,0.2026515156030655,2019-12-26T19:16:24.922798Z,2019-12-26T19:16:25.202798Z
2019-12-26T19:51:02.592798Z,ZX.BRA18.,P,0.22458799183368683,2019-12-26T19:51:02.532798Z,2019-12-26T19:51:02.792798Z
2019-12-26T20:21:38.142798Z,ZX.BRA18.,P,0.30337563157081604,2019-12-26T20:21:37.942798Z,2019-12-26T20:21:38.522798Z
2019-12-26T20:49:33.492798Z,ZX.BRA18.,P,0.37494343519210815,2019-12-26T20:49:33.252798Z,2019-12-26T20:49:33.782798Z
2019-12-26T20:49:34.952798Z,ZX.BRA18.,S,0.22113390266895294,2019-12-26T20:49:34.872798Z,2019-12-26T20:49:35.332798Z
2019-12-26T21:00:46.312798Z,ZX.BRA18.,P,0.20695042610168457,2019-12-26T21:00:46.272798Z,2019-12-26T21:00:46.532798Z
2019-12-26T22:53:11.422798Z,ZX.BRA18.,P,0.4577532708644867,2019-12-26T22:53:11.102798Z,2019-12-26T22:53:11.822798Z
2019-12-26T23:06:22.352798Z,ZX.BRA18.,P,0.8427389860153198,2019-12-26T23:06:21.972798Z,2019-12-26T23:06:22.812798Z
2019-12-26T23:27:50.082798Z,ZX.BRA18.,P,0.2392496019601822,2019-12-26T23:27:49.912798Z,2019-12-26T23:27:50.342798Z
