time,trace_id,phase,prob,start,end
2019-12-26T00:04:27.662400Z,ZX.BRA19.,P,0.2774277329444885,2019-12-26T00:04:27.512400Z,2019-12-26T00:04:28.202400Z
2019-12-26T00:07:45.882400Z,ZX.BRA19.,P,0.6998761296272278,2019-12-26T00:07:45.502400Z,2019-12-26T00:07:46.362400Z
2019-12-26T00:08:39.352400Z,ZX.BRA19.,P,0.2298000305891037,2019-12-26T00:08:39.172400Z,2019-12-26T00:08:39.762400Z
2019-12-26T00:08:43.232400Z,ZX.BRA19.,S,0.3680857717990875,2019-12-26T00:08:43.022400Z,2019-12-26T00:08:43.592400Z
2019-12-26T00:09:10.552400Z,ZX.BRA19.,P,0.6038151979446411,2019-12-26T00:09:10.152400Z,2019-12-26T00:09:10.972400Z
2019-12-26T00:15:26.232400Z,ZX.BRA19.,P,0.21811842918395996,2019-12-26T00:15:26.182400Z,2019-12-26T00:15:26.542400Z
2019-12-26T00:18:05.962400Z,ZX.BRA19.,P,0.4532274007797241,2019-12-26T00:18:05.692400Z,2019-12-26T00:18:06.352400Z
2019-12-26T00:18:59.492400Z,ZX.BRA19.,P,0.27004680037498474,2019-12-26T00:18:59.332400Z,2019-12-26T00:18:59.782400Z
2019-12-26T00:20:35.532400Z,ZX.BRA19.,P,0.21063020825386047,2019-12-26T00:20:35.382400Z,2019-12-26T00:20:35.812400Z
2019-12-26T00:20:38.282400Z,ZX.BRA19.,S,0.4608548581600189,2019-12-26T00:20:37.932400Z,2019-12-26T00:20:38.832400Z
2019-12-26T00:23:32.402400Z,ZX.BRA19.,P,0.33986595273017883,2019-12-26T00:23:32.222400Z,2019-12-26T00:23:32.762400Z
2019-12-26T00:24:11.812400Z,ZX.BRA19.,P,0.3010218143463135,2019-12-26T00:24:11.582400Z,2019-12-26T00:24:12.232400Z
2019-12-26T00:25:42.102400Z,ZX.BRA19.,P,0.7543052434921265,2019-12-26T00:25:41.772400Z,2019-12-26T00:25:42.532400Z
2019-12-26T00:33:51.702400Z,ZX.BRA19.,S,0.26689958572387695,2019-12-26T00:33:51.542400Z,2019-12-26T00:33:52.032400Z
2019-12-26T00:33:51.742400Z,ZX.BRA19.,P,0.3529492914676666,2019-12-26T00:33:51.412400Z,2019-12-26T00:33:52.142400Z
2019-12-26T00:39:01.262400Z,ZX.BRA19.,P,0.34462636709213257,2019-12-26T00:39:00.902400Z,2019-12-26T00:39:01.622400Z
2019-12-26T00:46:25.702400Z,ZX.BRA19.,P,0.621201753616333,2019-12-26T00:46:25.342400Z,2019-12-26T00:46:26.142400Z
2019-12-26T00:48:49.972400Z,ZX.BRA19.,P,0.2109196037054062,2019-12-26T00:48:49.932400Z,2019-12-26T00:48:50.252400Z
2019-12-26T00:51:30.252400Z,ZX.BRA19.,P,0.7981316447257996,2019-12-26T00:51:29.862400Z,2019-12-26T00:51:30.662400Z
2019-12-26T01:15:37.742400Z,ZX.BRA19.,P,0.8012625575065613,2019-12-26T01:15:37.362400Z,2019-12-26T01:15:38.192400Z
2019-12-26T01:16:22.662400Z,ZX.BRA19.,P,0.2551388442516327,2019-12-26T01:16:22.572400Z,2019-12-26T01:16:22.992400Z
2019-12-26T01:16:33.662400Z,ZX.BRA19.,P,0.5480847954750061,2019-12-26T01:16:33.342400Z,2019-12-26T01:16:34.092400Z
2019-12-26T01:17:53.622400Z,ZX.BRA19.,P,0.5519751310348511,2019-12-26T01:17:53.262400Z,2019-12-26T01:17:54.102400Z
2019-12-26T01:19:10.052400Z,ZX.BRA19.,P,0.5840845704078674,2019-12-26T01:19:09.712400Z,2019-12-26T01:19:10.492400Z
2019-12-26T01:20:29.512400Z,ZX.BRA19.,P,0.2179429680109024,2019-12-26T01:20:29.492400Z,2019-12-26T01:20:29.852400Z
2019-12-26T01:23:00.852400Z,ZX.BRA19.,P,0.4737855792045593,2019-12-26T01:23:00.632400Z,2019-12-26T01:23:01.232400Z
2019-12-26T01:26:17.552400Z,ZX.BRA19.,P,0.2590072751045227,2019-12-26T01:26:17.402400Z,2019-12-26T01:26:17.862400Z
2019-12-26T01:32:30.122400Z,ZX.BRA19.,P,0.44507038593292236,2019-12-26T01:32:29.862400Z,2019-12-26T01:32:30.482400Z
2019-12-26T01:35:57.082400Z,ZX.BRA19.,P,0.24622055888175964,2019-12-26T01:35:56.922400Z,2019-12-26T01:35:57.592400Z
2019-12-26T01:37:27.412400Z,ZX.BRA19.,P,0.7992445826530457,2019-12-26T01:37:27.012400Z,2019-12-26T01:37:27.852400Z
2019-12-26T01:38:04.562400Z,ZX.BRA19.,P,0.4084135591983795,2019-12-26T01:38:04.272400Z,2019-12-26T01:38:04.972400Z
