time,trace_id,phase,prob,start,end
2019-12-26T00:02:46.750000Z,5M.LVN.,P,0.515075147151947,2019-12-26T00:02:46.320000Z,2019-12-26T00:02:47.100000Z
2019-12-26T00:07:27.780000Z,5M.LVN.,P,0.22416521608829498,2019-12-26T00:07:27.660000Z,2019-12-26T00:07:27.780000Z
2019-12-26T00:43:16.660000Z,5M.LVN.,P,0.387185275554657,2019-12-26T00:43:16.450000Z,2019-12-26T00:43:16.980000Z
2019-12-26T00:46:09.470000Z,5M.LVN.,P,0.223865807056427,2019-12-26T00:46:09.410000Z,2019-12-26T00:46:09.740000Z
2019-12-26T00:48:46.190000Z,5M.LVN.,P,0.24000824987888336,2019-12-26T00:48:46.050000Z,2019-12-26T00:48:46.400000Z
2019-12-26T00:51:40.960000Z,5M.LVN.,P,0.2518979609012604,2019-12-26T00:51:40.860000Z,2019-12-26T00:51:41.220000Z
2019-12-26T00:51:44.590000Z,5M.LVN.,S,0.20941171050071716,2019-12-26T00:51:44.570000Z,2019-12-26T00:51:44.960000Z
2019-12-26T01:22:48.030000Z,5M.LVN.,P,0.24648933112621307,2019-12-26T01:22:47.920000Z,2019-12-26T01:22:48.350000Z
2019-12-26T01:39:14.260000Z,5M.LVN.,P,0.2024635374546051,2019-12-26T01:39:14.170000Z,2019-12-26T01:39:14.450000Z
2019-12-26T01:49:29.660000Z,5M.LVN.,P,0.2039850503206253,2019-12-26T01:49:29.580000Z,2019-12-26T01:49:29.950000Z
2019-12-26T01:49:32.580000Z,5M.LVN.,S,0.3739760220050812,2019-12-26T01:49:32.380000Z,2019-12-26T01:49:32.900000Z
2019-12-26T01:50:12.370000Z,5M.LVN.,P,0.20991724729537964,2019-12-26T01:50:12.340000Z,2019-12-26T01:50:13.320000Z
2019-12-26T02:13:05.000000Z,5M.LVN.,P,0.20791290700435638,2019-12-26T02:13:04.960000Z,2019-12-26T02:13:05.230000Z
2019-12-26T02:37:40.020000Z,5M.LVN.,P,0.3032008111476898,2019-12-26T02:37:39.730000Z,2019-12-26T02:37:40.340000Z
2019-12-26T03:11:44.500000Z,5M.LVN.,P,0.21424001455307007,2019-12-26T03:11:44.430000Z,2019-12-26T03:11:44.770000Z
2019-12-26T03:11:46.390000Z,5M.LVN.,P,0.21650905907154083,2019-12-26T03:11:46.330000Z,2019-12-26T03:11:46.640000Z
2019-12-26T03:11:49.340000Z,5M.LVN.,P,0.3751074969768524,2019-12-26T03:11:49.070000Z,2019-12-26T03:11:49.680000Z
2019-12-26T04:23:12.360000Z,5M.LVN.,P,0.9709658622741699,2019-12-26T04:23:11.990000Z,2019-12-26T04:23:12.780000Z
2019-12-26T04:23:16.800000Z,5M.LVN.,S,0.8431589603424072,2019-12-26T04:23:16.440000Z,2019-12-26T04:23:17.240000Z
2019-12-26T04:25:19.560000Z,5M.LVN.,S,0.29752302169799805,2019-12-26T04:25:19.340000Z,2019-12-26T04:25:19.860000Z
2019-12-26T04:40:55.010000Z,5M.LVN.,P,0.2099638134241104,2019-12-26T04:40:54.950000Z,2019-12-26T04:40:55.400000Z
2019-12-26T04:45:03.150000Z,5M.LVN.,P,0.40606632828712463,2019-12-26T04:45:02.840000Z,2019-12-26T04:45:03.460000Z
2019-12-26T05:48:11.020000Z,5M.LVN.,P,0.30848389863967896,2019-12-26T05:48:10.750000Z,2019-12-26T05:48:11.730000Z
2019-12-26T06:12:38.740000Z,5M.LVN.,P,0.21974065899848938,2019-12-26T06:12:38.640000Z,2019-12-26T06:12:39.020000Z
2019-12-26T07:08:40.810000Z,5M.LVN.,P,0.22467735409736633,2019-12-26T07:08:40.720000Z,2019-12-26T07:08:41.080000Z
2019-12-26T07:25:11.600000Z,5M.LVN.,P,0.21902208030223846,2019-12-26T07:25:11.500000Z,2019-12-26T07:25:11.870000Z
2019-12-26T07:56:09.640000Z,5M.LVN.,P,0.22588425874710083,2019-12-26T07:56:09.530000Z,2019-12-26T07:56:09.930000Z
2019-12-26T09:36:28.190000Z,5M.LVN.,S,0.6789485216140747,2019-12-26T09:36:27.860000Z,2019-12-26T09:36:28.780000Z
2019-12-26T09:56:04.570000Z,5M.LVN.,P,0.45987796783447266,2019-12-26T09:56:04.140000Z,2019-12-26T09:56:04.980000Z
2019-12-26T09:56:05.940000Z,5M.LVN.,S,0.2831716537475586,2019-12-26T09:56:05.800000Z,2019-12-26T09:56:06.220000Z
2019-12-26T09:57:29.840000Z,5M.LVN.,P,0.3701182007789612,2019-12-26T09:57:29.550000Z,2019-12-26T09:57:30.240000Z
2019-12-26T10:17:01.390000Z,5M.LVN.,P,0.2570711076259613,2019-12-26T10:17:01.180000Z,2019-12-26T10:17:01.900000Z
2019-12-26T10:49:21.350000Z,5M.LVN.,P,0.28100019693374634,2019-12-26T10:49:21.090000Z,2019-12-26T10:49:21.700000Z
2019-12-26T11:49:22.130000Z,5M.LVN.,P,0.3548307418823242,2019-12-26T11:49:21.860000Z,2019-12-26T11:49:22.550000Z
2019-12-26T11:52:51.550000Z,5M.LVN.,P,0.20047152042388916,2019-12-26T11:52:51.530000Z,2019-12-26T11:52:51.790000Z
2019-12-26T13:35:14.020000Z,5M.LVN.,P,0.27534055709838867,2019-12-26T13:35:13.830000Z,2019-12-26T13:35:14.590000Z
2019-12-26T16:02:51.260000Z,5M.LVN.,P,0.24912099540233612,2019-12-26T16:02:51.070000Z,2019-12-26T16:02:51.780000Z
2019-12-26T16:14:17.800000Z,5M.LVN.,P,0.326409250497818,2019-12-26T16:14:17.520000Z,2019-12-26T16:14:18.600000Z
2019-12-26T16:37:56.080000Z,5M.LVN.,P,0.4082169532775879,2019-12-26T16:37:55.850000Z,2019-12-26T16:37:56.390000Z
2019-12-26T16:41:14.640000Z,5M.LVN.,P,0.2387567162513733,2019-12-26T16:41:14.530000Z,2019-12-26T16:41:14.940000Z
2019-12-26T17:19:21.180000Z,5M.LVN.,P,0.2651921808719635,2019-12-26T17:19:20.980000Z,2019-12-26T17:19:21.450000Z
2019-12-26T17:21:26.030000Z,5M.LVN.,P,0.26310497522354126,2019-12-26T17:21:25.820000Z,2019-12-26T17:21:26.380000Z
2019-12-26T17:27:12.230000Z,5M.LVN.,P,0.5403534770011902,2019-12-26T17:27:11.920000Z,2019-12-26T17:27:12.540000Z
2019-12-26T17:29:55.020000Z,5M.LVN.,P,0.42890045046806335,2019-12-26T17:29:54.770000Z,2019-12-26T17:29:55.510000Z
2019-12-26T17:38:21.000000Z,5M.LVN.,P,0.28659090399742126,2019-12-26T17:38:20.760000Z,2019-12-26T17:38:21.340000Z
2019-12-26T17:55:39.360000Z,5M.LVN.,P,0.31082937121391296,2019-12-26T17:55:39.110000Z,2019-12-26T17:55:39.690000Z
2019-12-26T18:59:22.650000Z,5M.LVN.,S,0.2819516062736511,2019-12-26T18:59:22.490000Z,2019-12-26T18:59:23.150000Z
2019-12-26T19:20:31.240000Z,5M.LVN.,S,0.20124003291130066,2019-12-26T19:20:31.240000Z,2019-12-26T19:20:31.480000Z
2019-12-26T20:22:59.560000Z,5M.LVN.,P,0.45395249128341675,2019-12-26T20:22:59.280000Z,2019-12-26T20:22:59.930000Z
2019-12-26T20:31:02.490000Z,5M.LVN.,P,0.24486105144023895,2019-12-26T20:31:02.330000Z,2019-12-26T20:31:03.060000Z
2019-12-26T20:44:44.480000Z,5M.LVN.,P,0.5501869320869446,2019-12-26T20:44:44.170000Z,2019-12-26T20:44:44.890000Z
2019-12-26T21:24:36.950000Z,5M.LVN.,P,0.25077471137046814,2019-12-26T21:24:36.730000Z,2019-12-26T21:24:37.980000Z
2019-12-26T21:31:21.270000Z,5M.LVN.,P,0.316521018743515,2019-12-26T21:31:21.020000Z,2019-12-26T21:31:21.630000Z
2019-12-26T22:09:54.800000Z,5M.LVN.,P,0.2761935591697693,2019-12-26T22:09:54.610000Z,2019-12-26T22:09:55.120000Z
2019-12-26T22:09:58.830000Z,5M.LVN.,S,0.22270779311656952,2019-12-26T22:09:58.750000Z,2019-12-26T22:09:59.300000Z
2019-12-26T22:20:45.800000Z,5M.LVN.,P,0.5318763256072998,2019-12-26T22:20:45.390000Z,2019-12-26T22:20:46.310000Z
2019-12-26T23:27:37.730000Z,5M.LVN.,P,0.4276025891304016,2019-12-26T23:27:37.440000Z,2019-12-26T23:27:38.120000Z
2019-12-26T23:38:01.770000Z,5M.LVN.,P,0.31667178869247437,2019-12-26T23:38:01.610000Z,2019-12-26T23:38:02.130000Z
2019-12-26T23:56:37.120000Z,5M.LVN.,P,0.22808413207530975,2019-12-26T23:56:37.030000Z,2019-12-26T23:56:37.490000Z
